tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570306133677760513,neutral,1.0,N/A,N/A,Virgin America,N/A,cairdin,N/A,0,@VirginAmerica What @dhepburn said.,N/A,2015-02-24 11:35:52 -0800,N/A,Eastern Time (US & Canada)
570301083672813571,neutral,0.6837,N/A,N/A,Virgin America,N/A,yvonnalynn,N/A,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,N/A,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
570300248553349120,neutral,0.634,N/A,N/A,Virgin America,N/A,pilot,N/A,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",N/A,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
570294189143031808,neutral,0.6769,N/A,0.0,Virgin America,N/A,idk_but_youtube,N/A,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,N/A,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
570258822297579520,neutral,1.0,N/A,N/A,Virgin America,N/A,rjlynch21086,N/A,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,N/A,2015-02-24 08:27:52 -0800,"Boston, MA ",Eastern Time (US & Canada)
570217831557677057,neutral,0.6854,N/A,N/A,Virgin America,N/A,AdamSinger,N/A,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,N/A,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada)
570124596180955136,neutral,0.615,N/A,0.0,Virgin America,N/A,TenantsUpstairs,N/A,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2015-02-23 23:34:30 -0800,Brooklyn,Atlantic Time (Canada)
570094701371469825,neutral,1.0,N/A,N/A,Virgin America,N/A,JCervantezzz,N/A,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,N/A,2015-02-23 21:35:43 -0800,"California, San Francisco",Pacific Time (US & Canada)
570051991277342720,neutral,0.6207,N/A,N/A,Virgin America,N/A,miaerolinea,N/A,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,N/A,2015-02-23 18:46:00 -0800,Worldwide,Caracas
570038941497192448,neutral,0.6791,N/A,0.0,Virgin America,N/A,elisha_malulani,N/A,0,@VirginAmerica when can I book my flight to Hawaii??,N/A,2015-02-23 17:54:09 -0800,i'm creating a monster ,Pacific Time (US & Canada)
570016304284901379,neutral,1.0,N/A,N/A,Virgin America,N/A,GottAmanda,N/A,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",2015-02-23 16:24:11 -0800,Los Angeles,N/A
570015408788414464,neutral,0.6578,N/A,0.0,Virgin America,N/A,KGervaise,N/A,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,N/A,2015-02-23 16:20:38 -0800,Georgia,Pacific Time (US & Canada)
570013523650048002,neutral,1.0,N/A,N/A,Virgin America,N/A,papamurat,N/A,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,N/A,2015-02-23 16:13:09 -0800,N/A,N/A
570011341483843584,neutral,0.6799,N/A,N/A,Virgin America,N/A,vacations7,N/A,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,N/A,2015-02-23 16:04:28 -0800,Turks and caicos,N/A
570010539499393025,neutral,1.0,N/A,N/A,Virgin America,N/A,BobGlavinVO,N/A,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,N/A,2015-02-23 16:01:17 -0800,"New York, NY",Eastern Time (US & Canada)
570009713447825408,neutral,0.6436,N/A,N/A,Virgin America,N/A,lisaaiko,N/A,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,N/A,2015-02-23 15:58:00 -0800,N/A,N/A
570009035455344640,neutral,0.6764,N/A,0.0,Virgin America,N/A,grantbrowne,N/A,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",N/A,2015-02-23 15:55:18 -0800,Worldwide,Central Time (US & Canada)
570004391731847169,neutral,1.0,N/A,N/A,Virgin America,N/A,2v,N/A,0,@VirginAmerica wish you flew out of Atlanta... Soon?,N/A,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta,Eastern Time (US & Canada)
570001194900426752,neutral,0.7118,N/A,0.0,Virgin America,N/A,KSmithFoundHere,N/A,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,N/A,2015-02-23 15:24:09 -0800,N/A,Atlantic Time (Canada)
570000071644872704,neutral,1.0,N/A,N/A,Virgin America,N/A,papamurat,N/A,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,N/A,2015-02-23 15:19:41 -0800,N/A,N/A
569990163209850881,neutral,0.7007,N/A,N/A,Virgin America,N/A,giffgaffman,N/A,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,N/A,2015-02-23 14:40:19 -0800,"UK, USA. ",N/A
569989504431316993,neutral,1.0,N/A,N/A,Virgin America,N/A,HanlonBrothers,N/A,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,N/A,2015-02-23 14:37:42 -0800,"Gold Coast, Australia",Brisbane
569989321698074624,neutral,1.0,N/A,N/A,Virgin America,N/A,emilybg78,N/A,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,N/A,2015-02-23 14:36:58 -0800,"Stockton, CA",Arizona
569987622484848640,neutral,0.6858,N/A,N/A,Virgin America,N/A,adawson66,N/A,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",2015-02-23 14:30:13 -0800,N/A,N/A
569986782567071744,neutral,1.0,N/A,N/A,Virgin America,N/A,SocialPLC,N/A,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",N/A,2015-02-23 14:26:53 -0800,"Twin Cities, Minn.",Eastern Time (US & Canada)
569982307634794497,neutral,0.6814,N/A,0.0,Virgin America,N/A,1stcrown,N/A,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,N/A,2015-02-23 14:09:06 -0800,USA,Central Time (US & Canada)
569961866224652288,neutral,1.0,N/A,N/A,Virgin America,N/A,bxchen,N/A,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,N/A,2015-02-23 12:47:52 -0800,"San Francisco, CA",Eastern Time (US & Canada)
569949891163615232,neutral,0.6492,N/A,0.0,Virgin America,N/A,seimatrun,N/A,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,N/A,2015-02-23 12:00:17 -0800,Los Angeles,N/A
569948966873370625,neutral,1.0,N/A,N/A,Virgin America,N/A,jamied7,N/A,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",N/A,2015-02-23 11:56:37 -0800,"London, England",London
569940834994401280,neutral,1.0,N/A,N/A,Virgin America,N/A,campusmoviefest,N/A,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",N/A,2015-02-23 11:24:18 -0800,USA,Eastern Time (US & Canada)
569940323746516993,neutral,1.0,N/A,N/A,Virgin America,N/A,TaylorLumsden,N/A,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,N/A,2015-02-23 11:22:16 -0800,"Dallas, Texas",Mountain Time (US & Canada)
569934395865493504,neutral,1.0,N/A,N/A,Virgin America,N/A,kyle_romanoff,N/A,0,@VirginAmerica what happened to Doom?!,N/A,2015-02-23 10:58:43 -0800,N/A,N/A
569923394990419968,neutral,0.6705,N/A,0.0,Virgin America,N/A,serenaklal,N/A,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,N/A,2015-02-23 10:15:00 -0800,Chicago,Eastern Time (US & Canada)
569922008588222465,neutral,1.0,N/A,N/A,Virgin America,N/A,openambit1,N/A,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,N/A,2015-02-23 10:09:30 -0800,N/A,N/A
569920824905306113,neutral,0.6545,N/A,0.0,Virgin America,N/A,cabowine,N/A,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,N/A,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico",Arizona
569915941192015872,neutral,1.0,N/A,N/A,Virgin America,N/A,RamotControl,N/A,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",N/A,2015-02-23 09:45:23 -0800,N/A,Pacific Time (US & Canada)
569913339427434496,neutral,0.6639,N/A,0.0,Virgin America,N/A,losermelon,N/A,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",N/A,2015-02-23 09:35:03 -0800,N/A,N/A
569911218942517248,neutral,0.6765,N/A,0.0,Virgin America,N/A,yazdanagh,N/A,0,@VirginAmerica why is flight 345 redirected?,N/A,2015-02-23 09:26:37 -0800,N/A,N/A
569894407001939968,neutral,1.0,N/A,N/A,Virgin America,N/A,STravelsW,N/A,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,N/A,2015-02-23 08:19:49 -0800,"Manhattan Beach, CA",N/A
569891469210755074,neutral,1.0,N/A,N/A,Virgin America,N/A,joeyrenagade,N/A,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,N/A,2015-02-23 08:08:08 -0800,Greater Los Angeles,N/A
569881548515708928,neutral,0.6593,N/A,0.0,Virgin America,N/A,drcaseydrake,N/A,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",2015-02-23 07:28:43 -0800,"Dallas, TX",N/A
569873668131717120,neutral,1.0,N/A,N/A,Virgin America,N/A,flyfromSEA,N/A,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",N/A,2015-02-23 06:57:24 -0800,Seattle,Central Time (US & Canada)
569873664612704256,neutral,0.6529,N/A,N/A,Virgin America,N/A,flyfromLAX,N/A,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",N/A,2015-02-23 06:57:24 -0800,"Los Angeles, CA",Central Time (US & Canada)
569674358135914496,neutral,1.0,N/A,N/A,Virgin America,N/A,HishamSharaby,N/A,0,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",N/A,2015-02-22 17:45:25 -0800,New York,Eastern Time (US & Canada)
569649116487290880,neutral,1.0,N/A,N/A,Virgin America,N/A,F6x,N/A,0,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,"[40.64662464, -73.77090177]",2015-02-22 16:05:07 -0800,"San Francisco, CA",Pacific Time (US & Canada)
569643262459269120,neutral,0.6535,N/A,0.0,Virgin America,N/A,lawyang588,N/A,0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,N/A,2015-02-22 15:41:51 -0800,N/A,N/A
569633630978310145,neutral,1.0,N/A,N/A,Virgin America,N/A,nikkisixxfan93,N/A,0,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,N/A,2015-02-22 15:03:35 -0800,"Sacramento,California",Pacific Time (US & Canada)
569625609799774208,neutral,1.0,N/A,N/A,Virgin America,N/A,dropapp,N/A,0,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",N/A,2015-02-22 14:31:43 -0800,N/A,N/A
569615109363929088,neutral,0.355,N/A,0.0,Virgin America,N/A,FiDiFamilies,N/A,0,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,N/A,2015-02-22 13:49:59 -0800,New York City ,Eastern Time (US & Canada)
569586660909973504,neutral,1.0,N/A,N/A,Virgin America,N/A,MACRoxburgh,N/A,0,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,N/A,2015-02-22 11:56:57 -0800,N/A,Atlantic Time (Canada)
569575679722786816,neutral,1.0,N/A,N/A,Virgin America,N/A,wildcatdad,N/A,0,@VirginAmerica is your website ever coming back online?,N/A,2015-02-22 11:13:18 -0800,N/A,N/A
569575003248676864,neutral,0.6732,N/A,0.0,Virgin America,N/A,RheaThurman1,N/A,0,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",N/A,2015-02-22 11:10:37 -0800,N/A,N/A
569574973662232576,neutral,1.0,N/A,N/A,Virgin America,N/A,Osiris91780,N/A,0,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,N/A,2015-02-22 11:10:30 -0800,N/A,N/A
569574961158815745,neutral,1.0,N/A,N/A,Virgin America,N/A,HeatherWhoo,N/A,0,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,N/A,2015-02-22 11:10:27 -0800,N/A,N/A
569482263345307648,neutral,1.0,N/A,N/A,Virgin America,N/A,NewsSWA,N/A,0,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,N/A,2015-02-22 05:02:06 -0800,FL410,Sydney
569459618881019905,neutral,1.0,N/A,N/A,Virgin America,N/A,NewsSWA,N/A,0,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,N/A,2015-02-22 03:32:07 -0800,FL410,Sydney
569452063920226304,neutral,1.0,N/A,N/A,Virgin America,N/A,NewsSWA,N/A,0,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",N/A,2015-02-22 03:02:06 -0800,FL410,Sydney
569447071910105089,neutral,1.0,N/A,N/A,Virgin America,N/A,Graemelodge5545,N/A,0,@VirginAmerica Lister to my show my on Monday 1230 130,N/A,2015-02-22 02:42:16 -0800,N/A,N/A
569429411646156800,neutral,1.0,N/A,N/A,Virgin America,N/A,NewsSWA,N/A,0,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,N/A,2015-02-22 01:32:05 -0800,FL410,Sydney
569356387785900032,neutral,0.6816,N/A,0.0,Virgin America,N/A,khartline,N/A,0,@VirginAmerica I'd love to know what your policy is for damaged luggage.,N/A,2015-02-21 20:41:55 -0800,Las Vegas,Pacific Time (US & Canada)
569324558999691264,neutral,0.6701,N/A,0.0,Virgin America,N/A,TTINAC11,N/A,0,@VirginAmerica @TTINAC11 I DM you,N/A,2015-02-21 18:35:27 -0800,"Las Vegas, NV",Mountain Time (US & Canada)
569323106210152448,neutral,0.6942,N/A,0.0,Virgin America,N/A,elaurawrr,N/A,0,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,N/A,2015-02-21 18:29:40 -0800,N/A,Arizona
569311498301870080,neutral,0.653,N/A,N/A,Virgin America,N/A,obiwantoby,N/A,0,@VirginAmerica If only you guys had flights from CMH.,N/A,2015-02-21 17:43:33 -0800,N/A,Quito
569305113589714944,neutral,0.6743,N/A,0.0,Virgin America,N/A,TheNotoriousLEX,N/A,0,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,N/A,2015-02-21 17:18:10 -0800,Chicago ,Central Time (US & Canada)
569304208534597632,neutral,0.6863,N/A,N/A,Virgin America,N/A,Floxie10,N/A,0,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,N/A,2015-02-21 17:14:35 -0800,Argentina,N/A
569261128532041728,neutral,0.6809,N/A,0.0,Virgin America,N/A,carabubes,N/A,0,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,N/A,2015-02-21 14:23:24 -0800,"Los Angeles, California",Central Time (US & Canada)
569248437050302464,neutral,1.0,N/A,N/A,Virgin America,N/A,casualdiego,N/A,0,@VirginAmerica can you please get me to the new york area before monday afternoon,N/A,2015-02-21 13:32:58 -0800,"okayville, population me",N/A
569236471690829825,neutral,0.634,N/A,0.0,Virgin America,N/A,floatingatoll,N/A,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",N/A,2015-02-21 12:45:25 -0800,"Silicon Valley, California",Pacific Time (US & Canada)
569220232293720066,neutral,1.0,N/A,N/A,Virgin America,N/A,alanzeino,N/A,0,"@VirginAmerica it’s just a bug report, guys",N/A,2015-02-21 11:40:53 -0800,San Francisco,Pacific Time (US & Canada)
569197611393163264,neutral,1.0,N/A,N/A,Virgin America,N/A,jeredscott,N/A,0,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,N/A,2015-02-21 10:11:00 -0800,"downtown, CA",Pacific Time (US & Canada)
569197515993534464,neutral,1.0,N/A,N/A,Virgin America,N/A,eric_t_lee,N/A,0,@virginamerica spruce moose!,N/A,2015-02-21 10:10:37 -0800,Brooklyn,Eastern Time (US & Canada)
569018352464588800,neutral,0.6598,N/A,N/A,Virgin America,N/A,woawABQ,N/A,0,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",N/A,2015-02-20 22:18:41 -0800,"Albuquerque, NM",N/A
568989005162766337,neutral,1.0,N/A,N/A,Virgin America,N/A,AirlineFuel,N/A,0,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",N/A,2015-02-20 20:22:04 -0800,Global,Sydney
568977439398821888,neutral,1.0,N/A,N/A,Virgin America,N/A,OriginalTuna,N/A,0,@VirginAmerica any plans to start flying direct from DAL to LAS?,N/A,2015-02-20 19:36:07 -0800,Texas,Central Time (US & Canada)
