tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570301130888122368,positive,0.3486,N/A,0.0,Virgin America,N/A,jnardino,N/A,0,@VirginAmerica plus you've added commercials to the experience... tacky.,N/A,2015-02-24 11:15:59 -0800,N/A,Pacific Time (US & Canada)
570300616901320704,positive,0.6745,N/A,0.0,Virgin America,N/A,cjmcginnis,N/A,0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",N/A,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
570299953286942721,positive,0.6559,N/A,N/A,Virgin America,N/A,dhepburn,N/A,0,"@virginamerica Well, I didn't…but NOW I DO! :-D",N/A,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
570295459631263746,positive,1.0,N/A,N/A,Virgin America,N/A,YupitsTate,N/A,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",N/A,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
570289724453216256,positive,1.0,N/A,N/A,Virgin America,N/A,HyperCamiLax,N/A,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,N/A,2015-02-24 10:30:40 -0800,NYC,America/New_York
570289584061480960,positive,1.0,N/A,N/A,Virgin America,N/A,HyperCamiLax,N/A,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,N/A,2015-02-24 10:30:06 -0800,NYC,America/New_York
570287408438120448,positive,0.6451,N/A,N/A,Virgin America,N/A,mollanderson,N/A,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,N/A,2015-02-24 10:21:28 -0800,N/A,Eastern Time (US & Canada)
570285904809598977,positive,1.0,N/A,N/A,Virgin America,N/A,sjespers,N/A,0,@VirginAmerica Thanks!,N/A,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570277724385734656,positive,1.0,N/A,N/A,Virgin America,N/A,ItzBrianHunty,N/A,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,N/A,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
570270684619923457,positive,1.0,N/A,N/A,Virgin America,N/A,thebrandiray,N/A,0,I ❤️ flying @VirginAmerica. ☺️👍,N/A,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,positive,1.0,N/A,N/A,Virgin America,N/A,JNLpierce,N/A,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,N/A,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
570264145116819457,positive,1.0,N/A,N/A,Virgin America,N/A,DT_Les,N/A,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,N/A,N/A
570259420287868928,positive,1.0,N/A,N/A,Virgin America,N/A,ElvinaBeck,N/A,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,N/A,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
570076792993611776,positive,1.0,N/A,N/A,Virgin America,N/A,NorthTxHomeTeam,N/A,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
570051381534396416,positive,1.0,N/A,N/A,Virgin America,N/A,Nicsplace,N/A,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,N/A,2015-02-23 18:43:35 -0800,Central Texas,N/A
570045393565691904,positive,1.0,N/A,N/A,Virgin America,N/A,Nicsplace,N/A,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",N/A,2015-02-23 18:19:47 -0800,Central Texas,N/A
570033593394667521,positive,0.6639,N/A,N/A,Virgin America,N/A,jamesferrandini,N/A,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",N/A,2015-02-23 17:32:54 -0800,N/A,N/A
570012257549070337,positive,1.0,N/A,N/A,Virgin America,N/A,arieldaie,N/A,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,N/A,2015-02-23 16:08:07 -0800,Los Angeles,N/A
570010571707256832,positive,1.0,N/A,N/A,Virgin America,N/A,ChelseaPoe666,N/A,0,@VirginAmerica wow this just blew my mind,N/A,2015-02-23 16:01:25 -0800,Oakland via Midwest ,Atlantic Time (Canada)
570006886012973056,positive,0.657,N/A,N/A,Virgin America,N/A,joyabsalon,N/A,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,N/A,2015-02-23 15:46:46 -0800,Northern Virginia,Eastern Time (US & Canada)
569996245462159361,positive,1.0,N/A,N/A,Virgin America,N/A,VinnieFerra,N/A,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,N/A,2015-02-23 15:04:29 -0800,"brooklyn, Ny",Pacific Time (US & Canada)
569990222609412097,positive,0.635,N/A,N/A,Virgin America,N/A,KevinDemsi,N/A,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,N/A,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",Kuala Lumpur
569986348041547778,positive,1.0,N/A,N/A,Virgin America,N/A,jeffreymace01,N/A,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,N/A,2015-02-23 14:25:09 -0800,N/A,N/A
569972508499283968,positive,0.6922,N/A,N/A,Virgin America,N/A,Travelzoo,N/A,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,N/A,2015-02-23 13:30:10 -0800,"New York, NY",Pacific Time (US & Canada)
569942903683813376,positive,1.0,N/A,N/A,Virgin America,N/A,mrmichaellay,N/A,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
